G1
G2
RGyr
SPAN
SPAM
MEcc
SPH
ASP
PJI3
L/Bw
HOMA
CMBL
AROM
HOMT
DISPm
QXXm
QYYm
QZZm
DISPv
QXXv
QYYv
QZZv
DISPe
QXXe
QYYe
QZZe
DISPp
QXXp
QYYp
QZZp
DISPi
QXXi
QYYi
QZZi
DISPs
QXXs
QYYs
QZZs
Wi_G
WiA_G
AVS_G
H_G
Chi_G
ChiA_G
J_G
HyWi_G
SpAbs_G
SpPos_G
SpPosA_G
SpPosLog_G
SpMax_G
SpMaxA_G
SpDiam_G
SpAD_G
SpMAD_G
Ho_G
EE_G
SM2_G
SM3_G
SM4_G
SM5_G
SM6_G
VE1_G
VE2_G
VE3_G
VE1sign_G
VE2sign_G
VE3sign_G
VR1_G
VR2_G
VR3_G
Wi_RG
WiA_RG
AVS_RG
H_RG
Chi_RG
ChiA_RG
J_RG
HyWi_RG
SpAbs_RG
SpPos_RG
SpPosA_RG
SpPosLog_RG
SpMax_RG
SpMaxA_RG
SpDiam_RG
SpAD_RG
SpMAD_RG
Ho_RG
EE_RG
SM2_RG
SM3_RG
SM4_RG
SM5_RG
SM6_RG
VE1_RG
VE2_RG
VE3_RG
VE1sign_RG
VE2sign_RG
VE3sign_RG
VR1_RG
VR2_RG
VR3_RG
Wi_G/D
WiA_G/D
AVS_G/D
H_G/D
Chi_G/D
ChiA_G/D
J_G/D
HyWi_G/D
SpAbs_G/D
SpPos_G/D
SpPosA_G/D
SpPosLog_G/D
SpMax_G/D
SpMaxA_G/D
SpDiam_G/D
SpAD_G/D
SpMAD_G/D
Ho_G/D
EE_G/D
SM2_G/D
SM3_G/D
SM4_G/D
SM5_G/D
SM6_G/D
VE1_G/D
VE2_G/D
VE3_G/D
VE1sign_G/D
VE2sign_G/D
VE3sign_G/D
VR1_G/D
VR2_G/D
VR3_G/D
TDB01u
TDB02u
TDB03u
TDB04u
TDB05u
TDB06u
TDB07u
TDB08u
TDB09u
TDB10u
TDB01m
TDB02m
TDB03m
TDB04m
TDB05m
TDB06m
TDB07m
TDB08m
TDB09m
TDB10m
TDB01v
TDB02v
TDB03v
TDB04v
TDB05v
TDB06v
TDB07v
TDB08v
TDB09v
TDB10v
TDB01e
TDB02e
TDB03e
TDB04e
TDB05e
TDB06e
TDB07e
TDB08e
TDB09e
TDB10e
TDB01p
TDB02p
TDB03p
TDB04p
TDB05p
TDB06p
TDB07p
TDB08p
TDB09p
TDB10p
TDB01i
TDB02i
TDB03i
TDB04i
TDB05i
TDB06i
TDB07i
TDB08i
TDB09i
TDB10i
TDB01s
TDB02s
TDB03s
TDB04s
TDB05s
TDB06s
TDB07s
TDB08s
TDB09s
TDB10s
TDB01r
TDB02r
TDB03r
TDB04r
TDB05r
TDB06r
TDB07r
TDB08r
TDB09r
TDB10r
RDF010u
RDF015u
RDF020u
RDF025u
RDF030u
RDF035u
RDF040u
RDF045u
RDF050u
RDF055u
RDF060u
RDF065u
RDF070u
RDF075u
RDF080u
RDF085u
RDF090u
RDF095u
RDF100u
RDF105u
RDF110u
RDF115u
RDF120u
RDF125u
RDF130u
RDF135u
RDF140u
RDF145u
RDF150u
RDF155u
RDF010m
RDF015m
RDF020m
RDF025m
RDF030m
RDF035m
RDF040m
RDF045m
RDF050m
RDF055m
RDF060m
RDF065m
RDF070m
RDF075m
RDF080m
RDF085m
RDF090m
RDF095m
RDF100m
RDF105m
RDF110m
RDF115m
RDF120m
RDF125m
RDF130m
RDF135m
RDF140m
RDF145m
RDF150m
RDF155m
RDF010v
RDF015v
RDF020v
RDF025v
RDF030v
RDF035v
RDF040v
RDF045v
RDF050v
RDF055v
RDF060v
RDF065v
RDF070v
RDF075v
RDF080v
RDF085v
RDF090v
RDF095v
RDF100v
RDF105v
RDF110v
RDF115v
RDF120v
RDF125v
RDF130v
RDF135v
RDF140v
RDF145v
RDF150v
RDF155v
RDF010e
RDF015e
RDF020e
RDF025e
RDF030e
RDF035e
RDF040e
RDF045e
RDF050e
RDF055e
RDF060e
RDF065e
RDF070e
RDF075e
RDF080e
RDF085e
RDF090e
RDF095e
RDF100e
RDF105e
RDF110e
RDF115e
RDF120e
RDF125e
RDF130e
RDF135e
RDF140e
RDF145e
RDF150e
RDF155e
RDF010p
RDF015p
RDF020p
RDF025p
RDF030p
RDF035p
RDF040p
RDF045p
RDF050p
RDF055p
RDF060p
RDF065p
RDF070p
RDF075p
RDF080p
RDF085p
RDF090p
RDF095p
RDF100p
RDF105p
RDF110p
RDF115p
RDF120p
RDF125p
RDF130p
RDF135p
RDF140p
RDF145p
RDF150p
RDF155p
RDF010i
RDF015i
RDF020i
RDF025i
RDF030i
RDF035i
RDF040i
RDF045i
RDF050i
RDF055i
RDF060i
RDF065i
RDF070i
RDF075i
RDF080i
RDF085i
RDF090i
RDF095i
RDF100i
RDF105i
RDF110i
RDF115i
RDF120i
RDF125i
RDF130i
RDF135i
RDF140i
RDF145i
RDF150i
RDF155i
RDF010s
RDF015s
RDF020s
RDF025s
RDF030s
RDF035s
RDF040s
RDF045s
RDF050s
RDF055s
RDF060s
RDF065s
RDF070s
RDF075s
RDF080s
RDF085s
RDF090s
RDF095s
RDF100s
RDF105s
RDF110s
RDF115s
RDF120s
RDF125s
RDF130s
RDF135s
RDF140s
RDF145s
RDF150s
RDF155s
Mor01u
Mor02u
Mor03u
Mor04u
Mor05u
Mor06u
Mor07u
Mor08u
Mor09u
Mor10u
Mor11u
Mor12u
Mor13u
Mor14u
Mor15u
Mor16u
Mor17u
Mor18u
Mor19u
Mor20u
Mor21u
Mor22u
Mor23u
Mor24u
Mor25u
Mor26u
Mor27u
Mor28u
Mor29u
Mor30u
Mor31u
Mor32u
Mor01m
Mor02m
Mor03m
Mor04m
Mor05m
Mor06m
Mor07m
Mor08m
Mor09m
Mor10m
Mor11m
Mor12m
Mor13m
Mor14m
Mor15m
Mor16m
Mor17m
Mor18m
Mor19m
Mor20m
Mor21m
Mor22m
Mor23m
